商品ID,商品标题,价格,原价,月销量,评价数,店铺名称,店铺等级,发货地,运费,平台
PROD10037,华为专用 简约纯色手机壳 防摔防震保护套,12,16,12753,3351,精品手机配件馆,4皇冠,浙江杭州,包邮,拼多多
PROD10038,华为专用 皮革翻盖手机壳 防摔防震保护套,36,48,5448,1372,精品手机配件店,1皇冠,江苏苏州,包邮,淘宝
PROD10039,OPPO专用 磨砂硬壳手机壳 防摔防震保护套,10,14,18634,5441,优品手机配件馆,4皇冠,江苏苏州,5元,拼多多
PROD10040,VIVO专用 卡通图案手机壳 防摔防震保护套,35,65,1217,273,专营手机配件店,4钻,广东深圳,包邮,京东
PROD10041,华为专用 透明硅胶手机壳 防摔防震保护套,23,37,1689,557,精品手机配件店,4皇冠,江苏苏州,包邮,淘宝
PROD10042,小米专用 渐变色手机壳 防摔防震保护套,19,31,3714,829,优品手机配件馆,3皇冠,浙江杭州,5元,拼多多
PROD10043,苹果专用 渐变色手机壳 防摔防震保护套,25,36,5164,1889,优品手机配件馆,3钻,浙江义乌,包邮,淘宝
PROD10044,通用款 简约纯色手机壳 防摔防震保护套,36,68,6538,2064,优品手机配件店,5钻,广东深圳,5元,拼多多
PROD10045,OPPO专用 渐变色手机壳 防摔防震保护套,24,43,4827,983,精品手机配件店,5钻,江苏苏州,包邮,拼多多
PROD10046,通用款 简约纯色手机壳 防摔防震保护套,40,55,2650,1027,旗舰手机配件店,1皇冠,浙江杭州,包邮,淘宝
PROD10047,小米专用 皮革翻盖手机壳 防摔防震保护套,55,84,1050,316,精品手机配件店,3皇冠,浙江义乌,5元,淘宝
PROD10048,小米专用 简约纯色手机壳 防摔防震保护套,36,67,6014,1987,旗舰手机配件店,4皇冠,浙江杭州,包邮,京东
PROD10049,华为专用 防摔气囊手机壳 防摔防震保护套,74,135,2832,839,数码手机配件店,4钻,广东广州,5元,淘宝
PROD10050,OPPO专用 渐变色手机壳 防摔防震保护套,29,42,5061,1059,专营手机配件店,5钻,浙江义乌,包邮,京东
PROD10051,华为专用 液态硅胶手机壳 防摔防震保护套,57,75,360,96,精品手机配件店,2皇冠,广东广州,包邮,京东
PROD10052,华为专用 渐变色手机壳 防摔防震保护套,26,51,6929,1878,优品手机配件铺,4皇冠,江苏苏州,包邮,淘宝
PROD10053,通用款 磨砂硬壳手机壳 防摔防震保护套,13,25,17346,6241,精品手机配件店,3钻,江苏苏州,包邮,京东
PROD10054,苹果专用 磨砂硬壳手机壳 防摔防震保护套,20,34,7634,1840,旗舰手机配件店,4钻,浙江义乌,5元,京东
PROD10055,OPPO专用 磨砂硬壳手机壳 防摔防震保护套,19,33,13964,5080,精品手机配件店,4皇冠,广东广州,5元,拼多多
PROD10056,苹果专用 皮革翻盖手机壳 防摔防震保护套,55,84,2168,507,专营手机配件店,5钻,浙江杭州,包邮,京东
PROD10057,通用款 皮革翻盖手机壳 防摔防震保护套,34,62,4838,1375,专营手机配件馆,4钻,浙江杭州,5元,拼多多
PROD10058,OPPO专用 卡通图案手机壳 防摔防震保护套,11,17,3325,1142,专营手机配件铺,3钻,广东深圳,包邮,拼多多
PROD10059,OPPO专用 液态硅胶手机壳 防摔防震保护套,52,69,251,83,优品手机配件馆,2皇冠,广东深圳,包邮,拼多多
PROD10060,OPPO专用 防摔气囊手机壳 防摔防震保护套,76,138,1509,304,专营手机配件店,2皇冠,江苏苏州,包邮,京东
PROD10061,OPPO专用 渐变色手机壳 防摔防震保护套,23,44,5614,2007,精品手机配件馆,3皇冠,浙江义乌,5元,淘宝
PROD10062,小米专用 磨砂硬壳手机壳 防摔防震保护套,12,20,15779,5444,优品手机配件馆,2皇冠,江苏苏州,包邮,淘宝
PROD10063,苹果专用 防摔气囊手机壳 防摔防震保护套,63,96,2703,627,专营手机配件店,4皇冠,江苏苏州,包邮,淘宝
PROD10064,小米专用 简约纯色手机壳 防摔防震保护套,42,57,345,127,专营手机配件店,3皇冠,江苏苏州,包邮,淘宝
PROD10065,苹果专用 磨砂硬壳手机壳 防摔防震保护套,38,57,6536,1314,优品手机配件铺,4钻,江苏苏州,包邮,拼多多
PROD10066,小米专用 防摔气囊手机壳 防摔防震保护套,72,133,2446,818,优品手机配件馆,2皇冠,广东广州,包邮,拼多多
PROD10067,VIVO专用 皮革翻盖手机壳 防摔防震保护套,48,77,700,239,精品手机配件店,3钻,广东深圳,包邮,拼多多
PROD10068,华为专用 渐变色手机壳 防摔防震保护套,23,37,3525,1182,优品手机配件馆,2皇冠,江苏苏州,5元,拼多多
PROD10069,VIVO专用 渐变色手机壳 防摔防震保护套,37,73,6144,2372,精品手机配件馆,3皇冠,浙江杭州,包邮,淘宝
PROD10070,VIVO专用 液态硅胶手机壳 防摔防震保护套,56,100,629,247,专营手机配件铺,4皇冠,江苏苏州,包邮,京东
PROD10071,华为专用 渐变色手机壳 防摔防震保护套,40,52,742,288,旗舰手机配件店,3钻,江苏苏州,5元,淘宝
PROD10072,苹果专用 卡通图案手机壳 防摔防震保护套,28,37,1755,392,数码手机配件铺,5钻,浙江义乌,包邮,拼多多
PROD10073,苹果专用 液态硅胶手机壳 防摔防震保护套,34,62,3955,829,数码手机配件铺,5钻,广东广州,包邮,京东
PROD10074,OPPO专用 透明硅胶手机壳 防摔防震保护套,17,28,5213,1950,精品手机配件店,1皇冠,江苏苏州,包邮,京东
PROD10075,OPPO专用 卡通图案手机壳 防摔防震保护套,34,55,6398,2346,优品手机配件馆,4皇冠,广东广州,5元,拼多多
PROD10076,通用款 渐变色手机壳 防摔防震保护套,19,36,13656,2975,专营手机配件铺,3皇冠,江苏苏州,5元,拼多多
PROD10077,华为专用 简约纯色手机壳 防摔防震保护套,31,52,5992,2265,专营手机配件店,3皇冠,广东深圳,包邮,京东
PROD10078,苹果专用 防摔气囊手机壳 防摔防震保护套,65,113,2737,853,优品手机配件店,2皇冠,江苏苏州,包邮,京东
PROD10079,VIVO专用 皮革翻盖手机壳 防摔防震保护套,55,90,176,39,优品手机配件店,4钻,广东深圳,包邮,淘宝
